Dica,Categoria,Dica_ID
Reduzir o consumo de plástico descartável,Conservação de Recursos,1
Plantar árvores em sua comunidade,Sustentabilidade,2
Evitar o desperdício de água,Energia Renovável,3
Optar por transporte público ou bicicleta,Preservação da Biodiversidade,4
"Reciclar papel, plástico e vidro",Redução de Desperdício,5
Utilizar sacolas reutilizáveis,Conservação de Recursos,6
Comprar produtos com embalagens recicláveis,Sustentabilidade,7
Evitar o uso de produtos químicos agressivos,Energia Renovável,8
Usar lâmpadas LED para economizar energia,Preservação da Biodiversidade,9
Desligar aparelhos eletrônicos quando não estiverem em uso,Redução de Desperdício,10
Reduzir o consumo de carne,Conservação de Recursos,11
Comprar alimentos locais e orgânicos,Sustentabilidade,12
Utilizar energia solar sempre que possível,Energia Renovável,13
Compostar resíduos orgânicos,Preservação da Biodiversidade,14
Participar de campanhas de limpeza ambiental,Redução de Desperdício,15
Preservar a fauna e a flora locais,Conservação de Recursos,16
Evitar o desperdício de alimentos,Sustentabilidade,17
Optar por produtos de empresas sustentáveis,Energia Renovável,18
Reaproveitar materiais ao invés de descartá-los,Preservação da Biodiversidade,19
Fazer o descarte adequado de lixo eletrônico,Redução de Desperdício,20
Apoiar a preservação de áreas de conservação,Conservação de Recursos,21
Evitar o consumo excessivo de água em banhos e lavagem de roupas,Sustentabilidade,22
Escolher produtos com selo ecológico,Energia Renovável,23
Evitar o uso excessivo de produtos de higiene descartáveis,Preservação da Biodiversidade,24
Trocar o carro por opções de transporte mais ecológicas,Redução de Desperdício,25
Fazer a manutenção de eletrodomésticos para aumentar sua durabilidade,Conservação de Recursos,26
Participar de programas de plantio em áreas urbanas,Sustentabilidade,27
Comprar roupas e acessórios de empresas que pratiquem a moda sustentável,Energia Renovável,28
"Reduzir o uso de papel, optando por meios digitais",Preservação da Biodiversidade,29
Escolher móveis feitos de materiais reciclados,Redução de Desperdício,30
Apoiar políticas públicas para preservação do meio ambiente,Conservação de Recursos,31
Promover a educação ambiental em sua comunidade,Sustentabilidade,32
Adotar hábitos de consumo conscientes,Energia Renovável,33
Evitar produtos com microplásticos,Preservação da Biodiversidade,34
Participar de feiras de troca de produtos e itens usados,Redução de Desperdício,35
Apoiar ONGs e iniciativas de preservação ambiental,Conservação de Recursos,36
Praticar o consumo de alimentos sazonais e locais,Sustentabilidade,37
Substituir o uso de papel filme por alternativas biodegradáveis,Energia Renovável,38
Investir em soluções de armazenamento de energia renovável,Preservação da Biodiversidade,39
Reduzir o uso de produtos descartáveis durante viagens,Redução de Desperdício,40
Evitar a queima de resíduos a céu aberto,Conservação de Recursos,41
Promover a educação sobre a importância da biodiversidade,Sustentabilidade,42
